Zip Code,Precinct,Noise April 2015,Noise April 2016,Net Change,Total Crimes 2015,Total Crimes 2016,Net Change
10001,10,545,269,-276,3775,4218,443
10002,7,591,685,94,4045,4740,695
10003,9,444,441,-3,5507,6120,613
10004,1,40,51,11,5644,6733,1089
10005,1,205,51,-154,5644,6733,1089
10006,1,70,31,-39,5644,6733,1089
10007,1,97,54,-43,5644,6733,1089
10009,9,568,500,-68,5507,6120,613
10010,13,271,277,6,7107,7272,165
10011,10,369,411,42,3775,4218,443
10012,1,302,360,58,5644,6733,1089
10013,1,378,266,-112,5644,6733,1089
10014,6,290,247,-43,4960,5036,76
10016,17,336,505,169,2935,3484,549
10017,17,156,161,5,2935,3484,549
10018,18,136,59,-77,7910,8882,972
10019,18,491,301,-190,7910,8882,972
10020,18,2,2,0,7910,8882,972
10021,19,121,83,-38,7910,8882,972
10022,17,153,159,6,2935,3484,549
10023,20,191,254,63,3823,4173,350
10024,20,209,269,60,3823,4173,350
10025,24,480,471,-9,4640,5172,532
10026,26,308,314,6,2831,3148,317
10027,26,542,478,-64,2831,3148,317
10028,19,291,168,-123,7910,8882,972
10029,23,447,411,-36,6345,6986,641
10030,32,293,296,3,6506,7301,795
10031,30,657,723,66,4195,4736,541
10032,33,491,536,45,3898,4543,645
10033,34,399,405,6,5470,5912,442
10034,34,650,543,-107,5470,5912,442
10035,25,193,223,30,7186,7230,44
10036,17,297,276,-21,2935,3484,549
10037,32,90,113,23,6506,7301,795
10038,1,210,131,-79,5644,6733,1089
10039,32,358,202,-156,6506,7301,795
10040,34,628,495,-133,5470,5912,442
10041,1,1,0,0,5644,6733,1089
10044,114,9,2,-7,8835,9872,1037
10065,19,181,124,-57,7910,8882,972
10069,20,5,11,6,3823,4173,350
10075,19,72,146,74,7910,8882,972
10107,17,1,0,0,2935,3484,549
10111,17,1,0,0,2935,3484,549
10128,19,250,324,74,7910,8882,972
10278,5,1,1,0,4230,4695,465
10280,1,15,11,-4,5644,6733,1089
10282,17,4,5,1,2935,3484,549
10301,120,145,97,-48,8835,9872,1037
10302,121,46,70,24,6749,6993,244
10303,122,25,59,34,5057,5441,384
10304,122,163,126,-37,5057,5441,384
10305,121,67,46,-21,6749,6993,244
10306,122,79,134,55,5057,5441,384
10307,123,11,15,4,2713,2874,161
10308,122,27,24,-3,5057,5441,384
10309,123,12,34,22,2713,2874,161
10310,120,96,129,33,8835,9872,1037
10311,121,33,123,90,6749,6993,244
10314,120,113,108,-5,8835,9872,1037
10451,44,224,235,11,11767,12593,826
10452,44,385,489,104,11767,12593,826
10453,46,361,379,18,9449,10151,702
10454,40,115,174,59,12440,13394,954
10455,40,182,144,-38,12440,13394,954
10456,42,478,443,-35,7566,8795,1229
10457,48,429,376,-53,8204,8372,168
10458,48,414,460,46,8204,8372,168
10459,42,188,230,42,7566,8795,1229
10460,48,213,372,159,8204,8372,168
10461,49,241,128,-113,11592,12852,1260
10462,43,261,236,-25,11592,12852,1260
10463,50,339,298,-41,4459,4807,348
10464,45,11,26,15,6456,6814,358
10465,45,108,118,10,6456,6814,358
10466,47,200,239,39,9185,11035,1850
10467,47,524,437,-87,9185,11035,1850
10468,52,432,608,176,10250,10773,523
10469,49,121,143,22,11592,12852,1260
10470,47,53,57,4,9185,11035,1850
10471,50,62,43,-19,4459,4807,348
10472,43,466,285,-181,11592,12852,1260
10473,43,83,163,80,11592,12852,1260
10474,41,91,54,-37,7179,8045,866
10475,45,12,29,17,6456,6814,358
11004,111,22,14,-8,2765,3165,400
11101,108,244,235,-9,4757,4883,126
11102,114,211,112,-99,8835,9872,1037
11103,114,143,155,12,8835,9872,1037
11104,108,130,113,-17,4757,4883,126
11105,114,105,149,44,8835,9872,1037
11106,114,215,123,-92,8835,9872,1037
11109,108,7,8,1,4757,4883,126
11201,84,259,358,99,4950,5696,746
11203,67,138,172,34,9832,10909,1077
11204,62,92,110,18,5874,5975,101
11205,79,427,278,-149,6707,7555,848
11206,90,502,446,-56,6606,6995,389
11207,75,269,329,60,16071,16400,329
11208,75,224,266,42,16071,16400,329
11209,68,208,209,1,4838,5547,709
11210,63,112,94,-18,4989,5341,352
11211,90,534,443,-91,6606,6995,389
11212,73,243,207,-36,9664,10116,452
11213,77,312,288,-24,6447,6859,412
11214,62,120,138,18,5874,5975,101
11215,78,235,302,67,3882,4446,564
11216,79,596,520,-76,6707,7555,848
11217,78,399,373,-26,3882,4446,564
11218,72,170,191,21,5275,5661,386
11219,66,89,97,8,4593,4801,208
11220,72,219,278,59,5275,5661,386
11221,81,489,464,-25,5661,5792,131
11222,63,235,213,-22,4989,5341,352
11223,62,144,112,-32,5874,5975,101
11224,60,114,102,-12,6415,6407,-8
11225,71,297,347,50,6909,7496,587
11226,67,632,662,30,9832,10909,1077
11228,68,35,49,14,4838,5547,709
11229,61,144,231,87,5536,5748,212
11230,66,204,190,-14,4593,4801,208
11231,76,116,116,0,2521,2824,303
11232,72,98,150,52,5275,5661,386
11233,81,253,299,46,5661,5792,131
11234,63,169,143,-26,4989,5341,352
11235,61,215,184,-31,5536,5748,212
11236,69,116,108,-8,4640,5046,406
11237,83,457,509,52,6206,7021,815
11238,78,530,424,-106,3882,4446,564
11239,75,8,6,-2,16071,16400,329
11249,90,223,199,-24,6606,6995,389
11354,109,115,89,-26,7636,8742,1106
11355,109,74,107,33,7636,8742,1106
11356,109,94,78,-16,7636,8742,1106
11357,109,48,50,2,7636,8742,1106
11358,109,74,51,-23,7636,8742,1106
11360,109,21,15,-6,7636,8742,1106
11361,111,50,23,-27,2765,3165,400
11362,111,14,10,-4,2765,3165,400
11363,111,7,7,0,2765,3165,400
11364,111,29,32,3,2765,3165,400
11365,111,53,82,29,2765,3165,400
11366,111,96,360,264,2765,3165,400
11367,107,98,98,0,4543,4961,418
11368,110,262,217,-45,6607,7127,520
11369,115,142,75,-67,7480,8444,964
11370,115,60,42,-18,7480,8444,964
11372,115,204,221,17,7480,8444,964
11373,110,147,182,35,6607,7127,520
11374,112,118,83,-35,3324,3456,132
11375,112,141,187,46,3324,3456,132
11377,108,192,167,-25,4757,4883,126
11378,104,61,55,-6,5906,6550,644
11379,104,43,46,3,5906,6550,644
11385,104,375,294,-81,5906,6550,644
11411,105,20,45,25,7470,7828,358
11412,113,40,60,20,8061,8799,738
11413,105,56,64,8,7470,7828,358
11414,106,37,58,21,5843,6405,562
11415,106,114,74,-40,5843,6405,562
11416,102,84,52,-32,5875,6230,355
11417,106,37,67,30,5843,6405,562
11418,102,100,84,-16,5875,6230,355
11419,102,141,140,-1,5875,6230,355
11420,106,153,145,-8,5843,6405,562
11421,102,142,174,32,5875,6230,355
11422,105,39,49,10,7470,7828,358
11423,107,48,47,-1,4543,4961,418
11426,105,12,21,9,7470,7828,358
11427,111,47,48,1,2765,3165,400
11428,105,46,14,-32,7470,7828,358
11429,113,22,34,12,8061,8799,738
11430,113,1,0,0,8061,8799,738
11432,107,128,133,5,4543,4961,418
11433,103,84,92,8,8518,8169,-349
11434,113,77,104,27,8061,8799,738
11435,103,115,162,47,8518,8169,-349
11436,113,38,31,-7,8061,8799,738
11691,101,109,116,7,4468,5028,560
11692,100,44,43,-1,2643,3090,447
11693,100,45,40,-5,2643,3090,447
11694,100,69,52,-17,2643,3090,447
11697,100,1,2,1,2643,3090,447
