,April 2016,April 2017,Net Change
10031.0,657,723.0,66.0
10034.0,650,543.0,-107.0
11226.0,632,662.0,30.0
10040.0,628,495.0,-133.0
11216.0,596,520.0,-76.0
10002.0,591,685.0,94.0
10009.0,568,500.0,-68.0
10001.0,545,269.0,-276.0
10027.0,542,478.0,-64.0
11211.0,534,443.0,-91.0
11238.0,530,424.0,-106.0
10467.0,524,437.0,-87.0
11206.0,502,446.0,-56.0
10032.0,491,536.0,45.0
10019.0,491,301.0,-190.0
11221.0,489,464.0,-25.0
10025.0,480,471.0,-9.0
10456.0,478,443.0,-35.0
10472.0,466,285.0,-181.0
11237.0,457,509.0,52.0
10029.0,447,411.0,-36.0
10003.0,444,441.0,-3.0
10468.0,432,608.0,176.0
10457.0,429,376.0,-53.0
11205.0,427,278.0,-149.0
10458.0,414,460.0,46.0
11217.0,399,373.0,-26.0
10033.0,399,405.0,6.0
10452.0,385,489.0,104.0
10013.0,378,266.0,-112.0
11385.0,375,294.0,-81.0
10011.0,369,411.0,42.0
10453.0,361,379.0,18.0
10039.0,358,202.0,-156.0
10463.0,339,298.0,-41.0
10016.0,336,505.0,169.0
11213.0,312,288.0,-24.0
10026.0,308,314.0,6.0
10012.0,302,360.0,58.0
11225.0,297,347.0,50.0
10036.0,297,276.0,-21.0
10030.0,293,296.0,3.0
10028.0,291,168.0,-123.0
10014.0,290,247.0,-43.0
10010.0,271,277.0,6.0
11207.0,269,329.0,60.0
11368.0,262,217.0,-45.0
10462.0,261,236.0,-25.0
11201.0,259,358.0,99.0
11233.0,253,299.0,46.0
10128.0,250,324.0,74.0
11101.0,244,235.0,-9.0
11212.0,243,207.0,-36.0
10461.0,241,128.0,-113.0
11215.0,235,302.0,67.0
11222.0,235,213.0,-22.0
11208.0,224,266.0,42.0
10451.0,224,235.0,11.0
11249.0,223,199.0,-24.0
11220.0,219,278.0,59.0
11106.0,215,123.0,-92.0
11235.0,215,184.0,-31.0
10460.0,213,372.0,159.0
11102.0,211,112.0,-99.0
10038.0,210,131.0,-79.0
10024.0,209,269.0,60.0
11209.0,208,209.0,1.0
10005.0,205,51.0,-154.0
11230.0,204,190.0,-14.0
11372.0,204,221.0,17.0
10466.0,200,239.0,39.0
10035.0,193,223.0,30.0
11377.0,192,167.0,-25.0
10023.0,191,254.0,63.0
10459.0,188,230.0,42.0
10455.0,182,144.0,-38.0
10065.0,181,124.0,-57.0
11218.0,170,191.0,21.0
11234.0,169,143.0,-26.0
10304.0,163,126.0,-37.0
10017.0,156,161.0,5.0
10022.0,153,159.0,6.0
11420.0,153,145.0,-8.0
11373.0,147,182.0,35.0
10301.0,145,97.0,-48.0
11223.0,144,112.0,-32.0
11229.0,144,231.0,87.0
11103.0,143,155.0,12.0
11421.0,142,174.0,32.0
11369.0,142,75.0,-67.0
11419.0,141,140.0,-1.0
11375.0,141,187.0,46.0
11203.0,138,172.0,34.0
10018.0,136,59.0,-77.0
11104.0,130,113.0,-17.0
11432.0,128,133.0,5.0
10021.0,121,83.0,-38.0
10469.0,121,143.0,22.0
11214.0,120,138.0,18.0
11374.0,118,83.0,-35.0
11236.0,116,108.0,-8.0
11231.0,116,116.0,0.0
10454.0,115,174.0,59.0
11435.0,115,162.0,47.0
11354.0,115,89.0,-26.0
11224.0,114,102.0,-12.0
11415.0,114,74.0,-40.0
10314.0,113,108.0,-5.0
11210.0,112,94.0,-18.0
11691.0,109,116.0,7.0
10465.0,108,118.0,10.0
11105.0,105,149.0,44.0
11418.0,100,84.0,-16.0
11232.0,98,150.0,52.0
11367.0,98,98.0,0.0
10007.0,97,54.0,-43.0
10310.0,96,129.0,33.0
11366.0,96,360.0,264.0
11356.0,94,78.0,-16.0
11204.0,92,110.0,18.0
10474.0,91,54.0,-37.0
10037.0,90,113.0,23.0
11219.0,89,97.0,8.0
11416.0,84,52.0,-32.0
11433.0,84,92.0,8.0
10473.0,83,163.0,80.0
10306.0,79,134.0,55.0
11434.0,77,104.0,27.0
11358.0,74,51.0,-23.0
11355.0,74,107.0,33.0
